Country,Event,Event Link,Event Logo,Country Link,Country Logo,Artist,Artist Link,Song,Song Link,Flag
Albania,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/albania,https://static.eurovision.tv/hb-cgi/images/8d938a00-42af-4b60-835f-415a224a66cd.svg,Anxhela Peristeri,https://eurovision.tv/participant/anxhela-peristeri-2021,Karma,,
Armenia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/armenia,https://static.eurovision.tv/hb-cgi/images/8d93896f-fd4c-4afe-bd6e-9caaab1fde55.svg,To be announced,,Armenia to participate for the 14th time,,
Australia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/australia,https://static.eurovision.tv/hb-cgi/images/8d93895c-9990-4097-af10-1e22a057fb79.svg,Montaigne,https://eurovision.tv/participant/montaigne-2021,No song yet,https://www.youtube.com/watch?v=gr-wWxu4974,1
Austria,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/austria,https://static.eurovision.tv/hb-cgi/images/8d93895c-40a0-4991-b0c2-ece12225bf32.svg,Vincent Bueno,https://eurovision.tv/participant/vincent-bueno-2021,No song yet,https://www.youtube.com/watch?v=cOuiTJlBC50,1
Azerbaijan,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/azerbaijan,https://static.eurovision.tv/hb-cgi/images/8d93895b-f5a2-40c3-8e80-ccb3100837fb.svg,Efendi,https://eurovision.tv/participant/efendi-2021,No song yet,https://www.youtube.com/watch?v=Gyf71sWMphI,1
Belarus,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/belarus,https://static.eurovision.tv/hb-cgi/images/8d9388bf-2507-4a4e-be3c-b3c5d0e6180f.svg,To be announced,,Belarus to participate for the 17th time,,
Belgium,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/belgium,https://static.eurovision.tv/hb-cgi/images/8d93893e-237b-427a-b982-a0c7d1c41fde.svg,Hooverphonic,https://eurovision.tv/participant/hooverphonic-2021,No song yet,https://www.youtube.com/watch?v=lAqjksxc4iA,1
Bulgaria,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/bulgaria,https://static.eurovision.tv/hb-cgi/images/8d9388c1-04f7-4d41-818d-6d3bacf4253a.svg,Victoria,https://eurovision.tv/participant/victoria-2021,No song yet,https://www.youtube.com/watch?v=9l8HFrI_GGA,1
Croatia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/croatia,https://static.eurovision.tv/hb-cgi/images/8d93887c-4206-405c-bcf9-2f15ab74d1ac.svg,To be announced,,Croatia to participate for the 26th time,,
Cyprus,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/cyprus,https://static.eurovision.tv/hb-cgi/images/8d9388bc-39b2-4c25-ac07-51f9e63967c0.svg,Elena Tsagrinou,https://eurovision.tv/participant/elena-tsagrinou-2021,El Diablo,https://www.youtube.com/watch?v=xWYIlYWw4mk,1
Czech Republic,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/czech-republic,https://static.eurovision.tv/hb-cgi/images/8d9388b8-1024-4996-b07f-f858b38d5a4d.svg,Benny Cristo,https://eurovision.tv/participant/benny-cristo-2021,No song yet,https://www.youtube.com/watch?v=wROqCHLnbko,1
Denmark,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/denmark,https://static.eurovision.tv/hb-cgi/images/8d9388b2-4037-42a1-80d4-9d707d193b52.svg,To be announced,,Denmark to participate for the 49th time,,
Estonia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/estonia,https://static.eurovision.tv/hb-cgi/images/8d9388b0-cfa5-47fe-8d1c-ec1a9d773af2.svg,To be announced,,Estonia to participate for the 26th time,,
Finland,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/finland,https://static.eurovision.tv/hb-cgi/images/8d938883-a75b-4720-8911-8e3796f2a7d1.svg,To be announced,,Finland to participate for the 54th time,,
France,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/france,https://static.eurovision.tv/hb-cgi/images/8d938882-e456-4901-a2d2-de3b6ccc7cdb.svg,To be announced,,France to participate for the 64th time,,
Georgia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/georgia,https://static.eurovision.tv/hb-cgi/images/8d938882-5102-4e3c-8e83-527766ab211c.svg,Tornike Kipiani,https://eurovision.tv/participant/tornike-kipiani-2021,No song yet,https://www.youtube.com/watch?v=LjNK4Xywjc4,1
Germany,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/germany,https://static.eurovision.tv/hb-cgi/images/8d9388b6-92cc-4f05-a687-e4ebe31966cb.svg,To be announced,,Germany to participate for the 65th time,,
Greece,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/greece,https://static.eurovision.tv/hb-cgi/images/8d93887d-4341-4b77-9c5c-7ad22f3262b3.svg,Stefania,https://eurovision.tv/participant/stefania-2021,Last Dance,https://www.youtube.com/watch?v=dJxCINWp_j0,1
Iceland,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/iceland,https://static.eurovision.tv/hb-cgi/images/8d9a46c4-def5-4b18-b4af-375320fbac0e.svg,Daði og Gagnamagnið,https://eurovision.tv/participant/dadi-og-gagnamagnid-2021,No song yet,https://www.youtube.com/watch?v=1HU7ocv3S2o,1
Ireland,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/ireland,https://static.eurovision.tv/hb-cgi/images/8d93887b-7df6-40dc-bfa5-aa99d70ac957.svg,Lesley Roy,https://eurovision.tv/participant/lesley-roy-2021,No song yet,https://www.youtube.com/watch?v=HLgE0Ayl5Hc,1
Israel,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/israel,https://static.eurovision.tv/hb-cgi/images/8d93886a-4c64-40a7-8e95-ad0732715a38.svg,Eden Alene,https://eurovision.tv/participant/eden-alene-2021,No song yet,https://www.youtube.com/watch?v=YjzyZZ-oidc,1
Italy,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/italy,https://static.eurovision.tv/hb-cgi/images/8d93886a-27ac-4996-bc17-2f12b47b2a0e.svg,To be announced,,Italy to participate for the 47th time,,
Latvia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/latvia,https://static.eurovision.tv/hb-cgi/images/8d938866-37b5-494b-bf22-b216ab1d8fce.svg,Samanta Tīna,https://eurovision.tv/participant/samanta-tina-2021,No song yet,https://www.youtube.com/watch?v=_46gTi8Ut0U,1
Lithuania,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/lithuania,https://static.eurovision.tv/hb-cgi/images/8d938867-7e59-4252-979c-a9f152caa024.svg,To be announced,,Lithuania to participate for the 21st time,,
Malta,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/malta,https://static.eurovision.tv/hb-cgi/images/8d9387f2-8d60-494e-bd92-0d201e17c376.svg,Destiny,https://eurovision.tv/participant/destiny-2021,No song yet,https://www.youtube.com/watch?v=CFCn_8oViRw,1
Moldova,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/moldova,https://static.eurovision.tv/hb-cgi/images/8d938863-f530-484c-9b17-ff4a299bac5d.svg,To be announced,,Moldova to participate for the 16th time,,
North Macedonia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/fyr-macedonia,https://static.eurovision.tv/hb-cgi/images/8d938863-a50c-4ded-8acf-3205851eae1f.svg,To be announced,,North Macedonia to participate for the 20th time,,
Norway,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/norway,https://static.eurovision.tv/hb-cgi/images/8d9387de-68de-403d-b3d0-1bdcf1c361e6.svg,To be announced,,Norway to participate for the 59th time,,
Poland,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/poland,https://static.eurovision.tv/hb-cgi/images/8d9387d4-cc6f-437f-a646-cb3bde395dc2.svg,To be announced,,Poland to participate for the 23rd time,,
Portugal,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/portugal,https://static.eurovision.tv/hb-cgi/images/8d9387d4-255c-4052-b159-b62ef4ea2394.svg,To be announced,,Portugal to participate for the 52nd time,,
Romania,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/romania,https://static.eurovision.tv/hb-cgi/images/8d9a45ac-baef-4080-a24a-1afa3361e0ec.svg,Roxen,https://eurovision.tv/participant/roxen-2021,No song yet,https://www.youtube.com/watch?v=r8MNZmiY2II,1
Russia,Rotterdam 2021,https://eurovision.tv/event/rotterdam-2021,https://static.eurovision.tv/hb-cgi/images/90f03baa-12e1-447f-9c5a-f45cbfe8e1bd.png,https://eurovision.tv/country/russia,https://static.eurovision.tv/hb-cgi/images/8d9387d3-056c-418a-a660-c192add9a5b9.svg,To be announced,,Russia to participate for the 23rd time,,
